epoch,m,b
660,1.55536,0.425184
661,1.5554,0.425057
662,1.55545,0.424929
663,1.55549,0.424802
664,1.55554,0.424675
665,1.55558,0.424548
666,1.55562,0.424421
667,1.55567,0.424294
668,1.55571,0.424167
669,1.55575,0.42404
670,1.5558,0.423914
671,1.55584,0.423787
672,1.55588,0.42366
673,1.55593,0.423533
674,1.55597,0.423407
675,1.55601,0.42328
676,1.55606,0.423153
677,1.5561,0.423027
678,1.55614,0.4229
679,1.55619,0.422774
680,1.55623,0.422647
681,1.55627,0.422521
682,1.55632,0.422394
683,1.55636,0.422268
684,1.5564,0.422142
685,1.55645,0.422015
686,1.55649,0.421889
687,1.55653,0.421763
688,1.55658,0.421637
689,1.55662,0.42151
690,1.55666,0.421384
691,1.55671,0.421258
692,1.55675,0.421132
693,1.55679,0.421006
694,1.55684,0.42088
695,1.55688,0.420754
696,1.55692,0.420628
697,1.55696,0.420502
698,1.55701,0.420377
699,1.55705,0.420251
700,1.55709,0.420125
701,1.55714,0.419999
702,1.55718,0.419874
703,1.55722,0.419748
704,1.55727,0.419622
705,1.55731,0.419497
706,1.55735,0.419371
707,1.55739,0.419246
708,1.55744,0.41912
709,1.55748,0.418995
710,1.55752,0.41887
711,1.55757,0.418744
712,1.55761,0.418619
713,1.55765,0.418494
714,1.55769,0.418368
715,1.55774,0.418243
716,1.55778,0.418118
717,1.55782,0.417993
718,1.55786,0.417868
719,1.55791,0.417743
720,1.55795,0.417618
721,1.55799,0.417493
722,1.55804,0.417368
723,1.55808,0.417243
724,1.55812,0.417118
725,1.55816,0.416993
726,1.55821,0.416868
727,1.55825,0.416744
728,1.55829,0.416619
729,1.55833,0.416494
730,1.55838,0.41637
731,1.55842,0.416245
732,1.55846,0.41612
733,1.5585,0.415996
734,1.55855,0.415871
735,1.55859,0.415747
736,1.55863,0.415622
737,1.55867,0.415498
738,1.55872,0.415374
739,1.55876,0.415249
740,1.5588,0.415125
741,1.55884,0.415001
742,1.55889,0.414876
743,1.55893,0.414752
744,1.55897,0.414628
745,1.55901,0.414504
746,1.55905,0.41438
747,1.5591,0.414256
748,1.55914,0.414132
749,1.55918,0.414008
750,1.55922,0.413884
751,1.55927,0.41376
752,1.55931,0.413636
753,1.55935,0.413513
754,1.55939,0.413389
755,1.55943,0.413265
756,1.55948,0.413141
757,1.55952,0.413018
758,1.55956,0.412894
759,1.5596,0.41277
760,1.55965,0.412647
761,1.55969,0.412523
762,1.55973,0.4124
763,1.55977,0.412276
764,1.55981,0.412153
765,1.55986,0.41203
766,1.5599,0.411906
767,1.55994,0.411783
768,1.55998,0.41166
769,1.56002,0.411537
770,1.56007,0.411413
771,1.56011,0.41129
772,1.56015,0.411167
773,1.56019,0.411044
774,1.56023,0.410921
775,1.56028,0.410798
776,1.56032,0.410675
777,1.56036,0.410552
778,1.5604,0.410429
779,1.56044,0.410306
780,1.56048,0.410183
781,1.56053,0.410061
782,1.56057,0.409938
783,1.56061,0.409815
784,1.56065,0.409693
785,1.56069,0.40957
786,1.56074,0.409447
787,1.56078,0.409325
788,1.56082,0.409202
789,1.56086,0.40908
790,1.5609,0.408957
791,1.56094,0.408835
792,1.56099,0.408712
793,1.56103,0.40859
794,1.56107,0.408468
795,1.56111,0.408345
796,1.56115,0.408223
797,1.56119,0.408101
798,1.56124,0.407979
799,1.56128,0.407857
800,1.56132,0.407735
801,1.56136,0.407613
802,1.5614,0.407491
803,1.56144,0.407369
804,1.56148,0.407247
805,1.56153,0.407125
806,1.56157,0.407003
807,1.56161,0.406881
808,1.56165,0.406759
809,1.56169,0.406637
810,1.56173,0.406516
811,1.56177,0.406394
812,1.56182,0.406272
